글 제목,가격,올린 시간,url
아이패드 프로 10.5인치 Wi-Fi 실버 512GB 미개봉 새제품 팝니다 IPAD PRO,"980,000원",2018.12.10. 11:51,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538724127&query=ipad+pro
Ipad pro 12.9 2세대 256g (셀롤러+와이파이) + 애플팬슬 + 정품 스마트키보드 아이패드프로 12.9,"1,020,000원",2018.12.10. 08:17,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538648553&query=ipad+pro
ipad pro 스마트키보드 10.5inch,"130,000원",2018.12.09. 22:18,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538581470&query=ipad+pro
아이패드 프로(ipad pro) 1세대 12.9인치 32기가 wifi + 스마트키보드 + 펜슬 일괄판매,"550,000원",2018.12.09. 22:06,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538578110&query=ipad+pro
Ipad pro 12.9 2세대 256g (셀롤러+와이파이) + 애플팬슬 + 정품 스마트키보드 아이패드프로 12.9,"1,120,000원",2018.12.09. 21:49,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538573270&query=ipad+pro
아이패드 프로 9.7 128Gb wifi ipad pro 9.7 + 애플펜슬 + 카메라킷,"480,000원",2018.12.09. 21:27,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538566892&query=ipad+pro
아이패드 프로(iPad Pro) 2세대 12.9인치 와이파이(wifi) 256g,"950,000원",2018.12.08. 23:11,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538298999&query=ipad+pro
(네고가능) 아이패드 프로(iPad Pro) 2세대 12.9인치 셀룰러(LTE) + 와이파이(wifi) 셋트 99만원,"990,000원",2018.12.08. 21:08,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538269634&query=ipad+pro
iPad Pro 9.7 256GB Wi-Fi + Apple 키보드 커버 + 뒷판 커버,"650,000원",2018.12.08. 14:10,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538155759&query=ipad+pro
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Ipad pro 10.5 64기가 wifi +셀룰러,"600,000원",2018.12.07. 16:17,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537881462&query=ipad+pro
아이패드 프로 1세대 iPad Pro 9.7형 Wi-Fi 256GB(+애플펜슬),"550,000원",2018.12.07. 15:39,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537869311&query=ipad+pro
[미개봉] 2018 New iPad Pro 11 WI-FI 64G 스페이스그레이 실버,"920,000원",2018.12.06. 17:04,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537545711&query=ipad+pro
아이패드 프로 1세대 iPad Pro 9.7형 Wi-Fi 256GB(+애플펜슬),"550,000원",2018.12.06. 16:25,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537533058&query=ipad+pro
아이패드 프로 10.5인치 Wi-Fi 실버 512GB 미개봉 새제품 팝니다 IPAD PRO,"980,000원",2018.12.06. 10:38,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537403571&query=ipad+pro
"아이패드프로10.5형 와이파이+셀룰러+애플케어2년 iPad Pro Wi-Fi + Cellular 256GB - 스페이스그레이 판매합니다 (풀박스 , 동영상有)","850,000원",2018.12.05. 22:45,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537290468&query=ipad+pro
iPad Pro 10.5인치 실버 512 Wifi+LTE 해외판 미개봉,"1,100,000원",2018.12.05. 16:01,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=537164694&query=ipad+pro
"2018년 10월 출시 3세대 Ipad Pro 12.9인치 Wi-Fi + 셀룰러 256기가 스페이스 그레이, 2세대 애플펜슬, 정품 Smart Folio 판매합니다.","1,950,000원",2018.12.05. 02:53,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536966782&query=ipad+pro
IPad pro12.9 2세대 64G wifi 실버그레이 해외카톡사기 구별하기 kom66,None,None,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=736&articleid=536873824&query=ipad+pro
랩씨 9.7 slim fit case for iPad Pro 9.7” 미사용,"19,000원",2018.12.04. 19:37,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=536863393&query=ipad+pro
아이패드프로 10.5 스마트커버 ipad pro smart cover 새상품 판매,"40,000원",2018.12.04. 18:08,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536835072&query=ipad+pro
ipad pro 아이패드 프로 2세대 10.5인치 64GB WIFI (스페이스그레이) + 애플팬슬 급매,"650,000원",2018.12.04. 15:25,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536778490&query=ipad+pro
아이패드 프로 10.5 2세대 wifi 256g 로즈골드 펜슬 정품키보드 포함 82만원 ipad pro 10.5,"820,000원",2018.12.04. 07:27,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536609277&query=ipad+pro
아이패드 프로 10.5인치 Wi-Fi 실버 512GB 미개봉 새제품 팝니다 IPAD PRO,"980,000원",2018.12.03. 16:48,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536434807&query=ipad+pro
(가격다운)아이패드 10.5 프로 (a1709) 셀룰러 256G 판매합니다. 로즈골드색상 ipadpro,"630,000원",2018.12.03. 16:04,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536418776&query=ipad+pro
,,,
,,,
,,,
,,,
,,,
아이패드 프로 iPad Pro 10.5 셀룰러 64GB 스페이스그레이,"780,000원",2018.12.03. 15:30,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536406588&query=ipad+pro
아이패드 프로 퓨어 커버 패치워크 purecover for ipad pro colorant by patchworks,"2,500원",2018.12.02. 22:40,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=536179935&query=ipad+pro
아이패드 프로 10.5 256g 256기가 256 아이 패드 셀룰러 ipad pro 2세대,"690,000원",2018.12.02. 20:44,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536146449&query=ipad+pro
아이패드 프로 스마트 키보드 10.5 2세대 ipad pro 영문,"120,000원",2018.12.02. 19:14,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536120325&query=ipad+pro
아이패드프로 iPad Pro 정품 블루투스 키보드,"120,000원",2018.12.02. 17:51,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536097630&query=ipad+pro
아이패드 프로 10.5 2세대 wifi 256g 로즈골드 펜슬 정품키보드 포함 82만원 ipad pro 10.5,"820,000원",2018.12.02. 13:50,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=536025008&query=ipad+pro
아이패드 프로 10.5 (IPAD PRO 10.5) 골드 512GB 셀룰러 판매,"720,000원",2018.12.02. 10:43,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=535964639&query=ipad+pro
[wifi] 아이패드프로 2세대 12.9인치 (iPad Pro 12.9 64GB) + 애플펜슬 + 애플정품 키보드,"900,000원",2018.12.02. 10:01,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=535952159&query=ipad+pro
아이패드 프로 1세대 12.9인치 셀룰러 iPad Pro 12.9” 128GB Cellular + Wi-Fi 박스 풀셋 + 케이스 + 애플펜슬 + 키보드,"850,000원",2018.12.01. 15:05,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=535750864&query=ipad+pro
ipad pro 2세대 12.9 lte (셀룰러) 실버 512 GB + 케이스 판매합니다.제조일자 oct-2018,"1,050,000원",2018.12.01. 14:48,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=535745289&query=ipad+pro
[공식앱] 애플 아이패드프로 iPad Pro 9.7 128GB 실버 WIFI,None,None,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=736&articleid=535727503&query=ipad+pro
아이패드 프로 10.5인치 Wi-Fi 실버 512GB 미개봉 새제품 팝니다 IPAD PRO,"980,000원",2018.11.30. 22:05,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=535550958&query=ipad+pro
